Data Source,World Development Indicators,,,
,,,,
Norway,NOR,Military expenditure (current USD),MS.MIL.XPND.CD,7520413966
Nepal,NPL,Military expenditure (current USD),MS.MIL.XPND.CD,428701839.2
Nauru,NRU,Military expenditure (current USD),MS.MIL.XPND.CD,
New Zealand,NZL,Military expenditure (current USD),MS.MIL.XPND.CD,2926961107
OECD members,OED,Military expenditure (current USD),MS.MIL.XPND.CD,1.22E+12
Oman,OMN,Military expenditure (current USD),MS.MIL.XPND.CD,6551040312
Other small states,OSS,Military expenditure (current USD),MS.MIL.XPND.CD,4786668273
Pakistan,PAK,Military expenditure (current USD),MS.MIL.XPND.CD,10388318165
Panama,PAN,Military expenditure (current USD),MS.MIL.XPND.CD,0
Peru,PER,Military expenditure (current USD),MS.MIL.XPND.CD,2766847335
Philippines,PHL,Military expenditure (current USD),MS.MIL.XPND.CD,3471584034
Palau,PLW,Military expenditure (current USD),MS.MIL.XPND.CD,
Papua New Guinea,PNG,Military expenditure (current USD),MS.MIL.XPND.CD,80846153.85
Poland,POL,Military expenditure (current USD),MS.MIL.XPND.CD,11786153846
Pre-demographic dividend,PRE,Military expenditure (current USD),MS.MIL.XPND.CD,19483713192
Puerto Rico,PRI,Military expenditure (current USD),MS.MIL.XPND.CD,
"Korea, Dem. People's Rep.",PRK,Military expenditure (current USD),MS.MIL.XPND.CD,
Portugal,PRT,Military expenditure (current USD),MS.MIL.XPND.CD,4277877295
Paraguay,PRY,Military expenditure (current USD),MS.MIL.XPND.CD,375779511.4
West Bank and Gaza,PSE,Military expenditure (current USD),MS.MIL.XPND.CD,
Pacific island small states,PSS,Military expenditure (current USD),MS.MIL.XPND.CD,
Post-demographic dividend,PST,Military expenditure (current USD),MS.MIL.XPND.CD,1.16E+12
French Polynesia,PYF,Military expenditure (current USD),MS.MIL.XPND.CD,
Qatar,QAT,Military expenditure (current USD),MS.MIL.XPND.CD,
Romania,ROU,Military expenditure (current USD),MS.MIL.XPND.CD,4613040397
Russian Federation,RUS,Military expenditure (current USD),MS.MIL.XPND.CD,65201335848
Rwanda,RWA,Military expenditure (current USD),MS.MIL.XPND.CD,124073352.6
South Asia,SAS,Military expenditure (current USD),MS.MIL.XPND.CD,88560043184
Saudi Arabia,SAU,Military expenditure (current USD),MS.MIL.XPND.CD,61952000000
Sudan,SDN,Military expenditure (current USD),MS.MIL.XPND.CD,722256177.4
Senegal,SEN,Military expenditure (current USD),MS.MIL.XPND.CD,356820796
Singapore,SGP,Military expenditure (current USD),MS.MIL.XPND.CD,10662445015
Solomon Islands,SLB,Military expenditure (current USD),MS.MIL.XPND.CD,
Sierra Leone,SLE,Military expenditure (current USD),MS.MIL.XPND.CD,25641867.78
